,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Email: ,marketing@dyllu.com,,TeL: 0086 512 6569 0317;  Mobile phone: 0086 18061927935,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Qty should be multiple of Basic Qty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dyllu item No.,Picture,Type,Product name,Description & Features,Unit,PRICE MDL Preventiv,Qty,Basic Qty,Qty/Ctn,Carton,CBM,GW,Packed by,Vol/Ctn m³,GW/Ctn Kg,Qty received,Qty on the way,Plan to ship Qty,DYLLU Comments,Sales Comments,Customer Comments,feedback by customer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,discount,isGift,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DTCDP5282,,Best seller,Compact Brushless Cordless Impact Drill,"Brushless motor
Voltage: 20V
No-load speed: 0-500/0-2000rpm
Max impact rate: 30000bpm
Max torque: 52Nm
Plastic chuck
Chuck capacity: 13mm
Torque settings: 22+1+1
Mechanical 2-speed gear
Spindle lock function
Integrated LED work light
LED battery power indicator
Include:
1 Pcs 2.0Ah battery pack(DTLBP520)
1 Pcs charger(DTFCP502)
1 Pcs Cr-V 65mm bit
3 Pcs masonry drill bits
Charge volts:220V-240V~50/60Hz 
Packed by color box",PCS,923 MDL,,50,5,0.00,0.000,0.00,Color box,0.030,10.70,390,200,150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DTCDP6281,,Best seller,Compact brushless cordless impact drill,"Brushless motor
Voltage: 20V
No-load speed: 0-500/0-2000rpm
Max impact rate: 30000bpm
Max torque: 62Nm
Metal chuck
Chuck capacity: 13mm
Torque settings: 22+1+1
Mechanical 2-speed gear
Spindle lock function
Integrated LED work light
Include:
1 Pcs Cr-V 65mm bit
3 Pcs masonry drill bits
2 Pcs 2.0Ah battery pack(DTLBP520)
1 Pcs charger(DTFCP502)
Charge volts:220-240V~50/60Hz 
Integrated work light
LED battery power indicator
Packed by carrying case",PCS,"1,391 MDL",,50,5,0.00,0.000,0.00,Plastic box,0.053,15.80,450,50,200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DTDT4B91,,Best seller,91 Pcs Tools set,"include:
1 Pcs 20V Lithium-ion impact drill(DTCDP6281)
Brushless motor
Voltage: 20V
No-load speed: 0-500/0-2000rpm
Max impact rate: 30000bpm
Max torque: 62Nm
Metal chuck
Chuck capacity: 13mm
Torque settings: 22+1+1
Spindle lock function
2 Pcs 2.0Ah battery pack(DTLBP520)
1 Pcs charger(DTFCP502)
10 Pcs 2"" screwdriver bits:
SL4,SL5,SL6,PH1,PH2,PH3,T10,T15,T20,T30
10 Pcs screwdriver bits:
PH1,PH2,PZ1,PZ2,SL4,SL6,Hex4,Hex5,T20,T25
1 Pcs 8oz mini claw hammer
1 Pcs 6"" combination pliers
1 Pcs 6"" adjustable wrench
1 Pcs 18mm snap-off blade knife
1 Pcs SL5.5x100 screwdriver
1 Pcs PH1x100 screwdriver
1 Pcs magnetic bits holder
7 Pcs Hex key:1.5,2,2.5,3,4,5,6mm
6 Pcs 1/4"" hexagonal socket: 
5,6,8,9,10,11mm
1 Pcs 4-6mm(25mm) socket adaptor
3 Pcs twist drill bits 4,5,6mm
3 Pcs wood drill bits 4,5,6mm
20 Pcs screws(ST3.5*10Pcs,ST4*10Pcs)
20 Pcs plastic plugs(6mm*10Pcs,5mm*10Pcs)
Packed by carrying case",SET,"1,755 MDL",,80,4,0.00,0.000,0.00,BMC,0.054,19.40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DTDT4B119,,Best seller,119 Pcs Tools set,"1 Pcs 20V Lithium-ion impact drill(DTCDP6281)
Brushless motor
Voltage: 20V
No-load speed: 0-500/0-2000rpm
Max impact rate: 30000bpm
Max torque: 62Nm
Metal chuck
Chuck capacity: 13mm
Torque settings: 22+1+1
Spindle lock function
2 Pcs 2.0Ah battery pack(DTLBP520)
1 Pcs charger(DTFCP502)
10 Pcs 2"" screwdriver bits:
SL4,SL5,SL6,PH1,PH2,PH3,T10,T15,T20,T30
10 Pcs screwdriver bits:
PH1,PH2,PZ1,PZ2,SL4,SL6,Hex4,Hex5,T20,T25
1 Pcs 8oz mini claw hammer
1 Pcs 6"" combination pliers
1 Pcs 8"" adjustable wrench
1 Pcs 18mm snap-off blade knife
1 Pcs magnetic bits holder
1 Pcs test pencil
1 Pcs 3m steel measuring tape
6 Pcs precision screwdriver set:
SL2.0*50mm,SL2.5*50mm,SL3.0*50mm,PH0*50mm,PH00*50mm,PH000*50mm
7 Pcs Hex key:1.5,2,2.5,3,4,5,6mm
6 Pcs 1/4"" hexagonal socket:5mm,6mm,8mm,9mm,10mm,11mm
1 Pcs 4-6mm(25mm) socket adaptor
1 Pcs T-ratchet handle
1 Pcs mini hacksaw frame
3 Pcs twist drill bits 4,5,6mm
3 Pcs wood drill bits 4,5,6mm
30 Pcs screws(ST3.5*10Pcs,ST4*10Pcs,ST5*10Pcs)
30 Pcs plastic plugs(6mm*10Pcs,5mm*10Pcs,8mm*10Pcs)
1 Pcs 16"" plastic tool box",SET,"1,893 MDL",,48,6,0.00,0.000,0.00,Plastic box,0.136,34.50,0,276,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DTCDP8288,,Best seller,Brushless Cordless Impact Drill,"Brushless motor
Voltage: 20V
No-load speed: 0-550/0-2100rpm
Max impact rate: 31500bpm
Max torque: 82Nm
Metal chuck
Chuck capacity: 13mm
Torque settings: 22+1+1
Mechanical 2-speed gear
Spindle lock function
Integrated LED work light
LED battery power indicator
Include:
2 Pcs 2.0Ah battery pack(DTLBP520)
1 Pcs charger(DTFCP502)
Charge volts: 220-240V~50/60Hz
1 Pcs Cr-V 65mm bit
3 Pcs masonry drill bits
Packed by carrying case",PCS,"1,701 MDL",,50,5,0.00,0.000,0.00,Plastic box,0.053,18.00,0,0,150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DTCDP9286,,Best seller,Brushless Cordless Impact Drill,"Brushless motor
Voltage: 20V
No-load speed: 0-550/0-2100rpm
Max impact rate: 31500bpm
Max torque: 92Nm
Metal chuck
Chuck capacity: 13mm
Torque settings: 22+1+1
Mechanical 2-speed gear
Spindle lock function
Integrated LED work light
LED battery power indicator
Include:
2 Pcs 4.0Ah battery pack(DTLBP540)
1 Pcs charger(DTFCP502)
Charge volts: 220-240V~50/60Hz
1 Pcs Cr-V 65mm bit
3 Pcs masonry drill bits
Packed by carrying case",PCS,"2,331 MDL",,40,4,0.00,0.000,0.00,Plastic box,0.078,23.50,0,36,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DTCDP16281,,Best seller,Brushless cordless impact drill,"Brushless motor
Voltage: 20V
No-load speed: 0-550/0-2100rpm
Max impact rate: 31500bpm
Max torque: 162Nm
Jacobs metal chuck
Chuck capacity: 13mm
Torque settings: 23+1+1
Mechanical 2-speed gear
Spindle lock function
Integrated LED work light
LED battery power indicator
Include:
2 Pcs 4.0Ah battery pack(DTLBP540)
1 Pcs charger(DTFCP540)
Charge volts: 220-240V~50/60Hz
3pcs Wood flat drill bits(16.18.20mm)
3pcs Masonry drill bits(5.6.8mm)
2pcs Impact screwdriver bits(PH2,SL6)
Packed by carrying case",PCS,"3,401 MDL",,40,4,0.00,0.000,0.00,Plastic box,0.078,22.70,68,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DTCD1B40,,Best seller,Cordless impact wrench,"Brushless motor
Voltage: 20V
Square drive: 1/2""
No-load speed: 0-1800/0-2000/0-2400rpm
Impact rate: 0-2200/0-2600/0-3000bpm
Fastening torque: 400Nm
Breakaway  torque: 550Nm
Integrated LED work light
Include:
2 Pcs 2.0Ah battery pack(DTLBP520)
1 Pcs charger(DTFCP502)
Charge volts:220V-240V~50/60Hz 
Packed by carrying case",PCS,"1,426 MDL",,30,5,0.00,0.000,0.00,Plastic box,0.053,16.50,0,0,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DTCD1B53,,Best seller,Cordless impact wrench,"Brushless motor
Voltage: 20V
Square drive: 1/2""
No-load speed: 0-1500/0-2000/0-2500rpm
Impact rate: 0-2600/0-3000/0-3500bpm
Fastening torque: 530Nm
Breakaway  torque: 680Nm
Integrated work light
Include:
2 Pcs 4.0Ah battery pack(DTLBP540)
1 Pcs charger(DTFCP502)
Charge volts:220V-240V~50/60Hz 
Packed by carrying case",PCS,"2,359 MDL",,20,5,0.00,0.000,0.00,Plastic box,0.053,20.90,0,100,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
