sku,product_name,status,findings
DTBJ1308,"Capsator cu acumulator și încărcător, 20 V, F15~F35",PASS,
DTBLP520,Suflantă frunze fără acumulator și încărcător,REVIEW,description_package_gap: Description does not state that the battery is excluded.
DTBLP522,"Suflantă frunze cu acumulator 20 V, 2 Ah",REVIEW,description_package_gap: Description does not state the included charger/charging method.; title_package_gap: Title omits the included charger/charging method.
DTBLP5521,"Suflantă frunze cu acumulator și încărcător, 20 V, 2 Ah",REVIEW,description_package_gap: Description does not state the included charger/charging method.
DTCD1B1285,"Cheie de impact cu acumulator, 20 V, 1280 Nm",BLOCK,catalog_qa: Catalog QA is not approved.; case_not_exposed: A carrying case is visible in the source but is not represented in catalog content.; description_package_gap: Description does not state the included charger/charging method.; title_package_gap: Title omits that 2 batteries are included.; title_package_gap: Title omits the included charger/charging method.; copied_specs: Shows Tensiune 1/2″ and 780 N·m instead of 20 V and 1280 N·m.
DTCD1B33,"Cheie de impact cu acumulator, 20 V, 330 Nm",BLOCK,catalog_qa: Catalog QA is not approved.; case_not_exposed: A carrying case is visible in the source but is not represented in catalog content.; description_package_gap: Description does not state the included charger/charging method.; title_package_gap: Title omits that 2 batteries are included.; title_package_gap: Title omits the included charger/charging method.; copied_specs: Shows Tensiune 1/2″ and 780 N·m instead of 20 V and 330 N·m.
DTCD1B483,"Cheie de impact cu acumulator, 20 V, 480 Nm",BLOCK,catalog_qa: Catalog QA is not approved.; case_not_exposed: A carrying case is visible in the source but is not represented in catalog content.; description_package_gap: Description does not state the included charger/charging method.; title_package_gap: Title omits that 2 batteries are included.; title_package_gap: Title omits the included charger/charging method.; copied_specs: Shows Tensiune 1/2″ and 780 N·m instead of 20 V and 480 N·m.
DTCD1B78,"Cheie de impact cu acumulator, 20 V, 780 Nm",BLOCK,catalog_qa: Catalog QA is not approved.; case_not_exposed: A carrying case is visible in the source but is not represented in catalog content.; description_package_gap: Description does not state the included charger/charging method.; title_package_gap: Title omits that 2 batteries are included.; title_package_gap: Title omits the included charger/charging method.; invalid_spec_key: Shows square drive 1/2″ under the Tensiune label.
DTCD1B785,"Cheie de impact cu 2 acumulatori și încărcător, 20 V, 780 Nm, 1/2″",REVIEW,catalog_qa: Catalog QA is not approved.; case_not_exposed: A carrying case is visible in the source but is not represented in catalog content.
DTCD2B21,"Cheie de impact cu 2 acumulatori și încărcător, 20 V, 210 Nm, 6,35 mm",REVIEW,catalog_qa: Catalog QA is not approved.; case_not_exposed: A carrying case is visible in the source but is not represented in catalog content.
DTCD3B21,"Cheie de impact cu 2 acumulatori și încărcător, 20 V, 210 Nm, 1/2″",REVIEW,catalog_qa: Catalog QA is not approved.; case_not_exposed: A carrying case is visible in the source but is not represented in catalog content.
